freq_mhz,standby_dbuvm,movement_xray_dbuvm,delta_db
30.0,19.158425094393248,29.43742509439325,10.279000000000003
30.048828125,22.55042509439325,31.38642509439325,8.835999999999999
30.09765625,22.710425094393248,30.02342509439325,7.313000000000002
30.146484375,22.96842509439325,31.839425094393246,8.870999999999995
30.1953125,22.857425094393246,32.42642509439325,9.569000000000006
30.244140625,23.30442509439325,30.732425094393246,7.427999999999997
30.29296875,23.171425094393246,32.499425094393246,9.328
30.341796875,23.451425094393247,32.92842509439325,9.477
30.390625,23.436425094393247,31.266425094393245,7.829999999999998
30.439453125,23.49542509439325,32.954425094393244,9.458999999999993
30.48828125,23.680425094393247,33.40942509439324,9.728999999999996
30.537109375,23.74642509439325,31.68142509439325,7.935000000000002
30.5859375,24.12642509439325,33.26242509439325,9.136
30.634765625,24.17942509439325,33.724425094393254,9.545000000000005
30.68359375,24.287425094393246,31.841425094393248,7.554000000000002
30.732421875,24.546425094393246,33.47642509439325,8.930000000000003
30.78125,24.439425094393247,33.871425094393246,9.431999999999999
30.830078125,24.899425094393248,32.02942509439325,7.129999999999999
30.87890625,24.88342509439325,33.62242509439325,8.739
30.927734375,25.10342509439325,33.90642509439324,8.802999999999994
30.9765625,25.250425094393247,32.123425094393255,6.873000000000008
31.025390625,25.463425094393248,33.737425094393245,8.273999999999997
31.07421875,25.62742509439325,33.728425094393245,8.100999999999996
31.123046875,25.470425094393246,32.17842509439325,6.708000000000002
31.171875,25.85042509439325,33.599425094393254,7.749000000000006
31.220703125,25.73942509439325,33.43642509439324,7.696999999999992
31.26953125,25.842425094393246,32.252425094393246,6.41
31.318359375,26.23042509439325,33.13142509439325,6.901
31.3671875,26.10942509439325,32.852425094393254,6.743000000000006
31.416015625,26.49542509439325,31.963425094393248,5.467999999999996
31.46484375,26.229425094393246,32.49742509439325,6.268000000000004
31.513671875,26.44442509439325,32.29542509439325,5.851000000000003
31.5625,26.50542509439325,31.699425094393245,5.1939999999999955
31.611328125,26.582425094393248,32.26542509439325,5.683000000000003
31.66015625,26.832425094393248,31.89842509439325,5.0660000000000025
31.708984375,26.558425094393247,31.204425094393248,4.646000000000001
31.7578125,26.824425094393245,32.39842509439325,5.574000000000002
31.806640625,26.48742509439325,31.42542509439325,4.938000000000002
31.85546875,26.668425094393246,32.05242509439324,5.383999999999997
31.904296875,26.674425094393246,32.67442509439324,5.9999999999999964
31.953125,27.674425094393246,32.32142509439325,4.647000000000002
32.001953125,28.632425094393252,33.243425094393245,4.6109999999999935
32.05078125,27.55742509439325,33.81342509439325,6.256000000000004
32.099609375,26.591425094393248,33.54742509439325,6.9559999999999995
32.1484375,26.26742509439325,34.65042509439324,8.382999999999992
32.197265625,26.238425094393246,34.972425094393245,8.733999999999998
32.24609375,26.168425094393246,35.01242509439325,8.844000000000005
32.294921875,26.03942509439325,36.19342509439325,10.154
32.34375,26.23442509439325,36.34242509439325,10.108
32.392578125,26.06642509439325,36.502425094393246,10.435999999999996
32.44140625,26.144425094393245,37.73242509439325,11.588000000000005
32.490234375,26.125425094393247,37.579425094393244,11.453999999999997
32.5390625,26.42542509439325,38.008425094393246,11.582999999999995
32.587890625,26.91142509439325,39.13742509439325,12.226000000000003
32.63671875,27.518425094393248,38.78042509439325,11.262000000000004
32.685546875,27.30642509439325,39.27842509439324,11.97199999999999
32.734375,26.329425094393248,40.39342509439325,14.064000000000004
32.783203125,26.220425094393246,39.79042509439324,13.569999999999997
32.83203125,26.070425094393247,40.43942509439324,14.368999999999996
32.880859375,26.08742509439325,41.45342509439325,15.366000000000003
32.9296875,26.34942509439325,40.698425094393244,14.348999999999993
32.978515625,25.88642509439325,41.43742509439325,15.550999999999998
33.02734375,26.013425094393245,42.511425094393246,16.498
33.076171875,25.67542509439325,41.64142509439324,15.96599999999999
33.125,25.824425094393245,42.344425094393245,16.52
33.173828125,25.85542509439325,43.56242509439325,17.706999999999997
33.22265625,25.67942509439325,42.594425094393245,16.914999999999996
33.271484375,25.77342509439325,43.27142509439325,17.498
33.3203125,25.53542509439325,44.59542509439325,19.06
33.369140625,25.68742509439325,43.617425094393255,17.930000000000003
33.41796875,25.500425094393247,44.097425094393245,18.596999999999998
33.466796875,25.494425094393247,44.965425094393254,19.471000000000007
33.515625,25.42542509439325,44.19942509439325,18.773999999999997
33.564453125,25.040425094393246,44.379425094393255,19.33900000000001
33.61328125,25.42942509439325,44.32242509439325,18.893000000000004
33.662109375,25.092425094393246,44.15742509439325,19.065
33.7109375,25.22842509439325,43.55642509439325,18.328
33.759765625,25.210425094393248,42.72342509439325,17.513
33.80859375,25.52042509439325,43.41242509439324,17.891999999999992
33.857421875,25.568425094393252,42.06442509439324,16.49599999999999
33.90625,25.84342509439325,42.463425094393244,16.619999999999994
