Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Worst-case envelope,33.466796875,44.965425094393254,40.0,-4.965425094393254,FAIL
Worst-case envelope,53.4375,35.55442509439325,40.0,4.4455749056067475,PASS
Worst-case envelope,162.51953125,35.389425094393246,40.0,4.610574905606754,PASS
Worst-case envelope,41.5234375,35.05642509439325,40.0,4.943574905606752,PASS
Worst-case envelope,49.7265625,34.71442509439325,40.0,5.285574905606751,PASS
Worst-case envelope,534.19921875,29.561425094393247,47.0,17.438574905606753,PASS
Worst-case envelope,250.01953125,29.18742509439325,47.0,17.81257490560675,PASS
Worst-case envelope,137.51953125,28.43242509439325,40.0,11.567574905606751,PASS
