freq_mhz,field_corr_dbuvm,mode
30.0,31.655425094393248,Afternoon movements vs standby
30.048828125,32.90742509439325,Afternoon movements vs standby
30.09765625,33.209425094393254,Afternoon movements vs standby
30.146484375,32.743425094393245,Afternoon movements vs standby
30.1953125,33.25342509439325,Afternoon movements vs standby
30.244140625,33.349425094393254,Afternoon movements vs standby
30.29296875,32.962425094393254,Afternoon movements vs standby
30.341796875,33.33042509439325,Afternoon movements vs standby
30.390625,33.18242509439325,Afternoon movements vs standby
30.439453125,33.65242509439325,Afternoon movements vs standby
30.48828125,33.124425094393246,Afternoon movements vs standby
30.537109375,32.94142509439325,Afternoon movements vs standby
30.5859375,34.07742509439325,Afternoon movements vs standby
30.634765625,32.92142509439324,Afternoon movements vs standby
30.68359375,32.849425094393254,Afternoon movements vs standby
30.732421875,34.218425094393254,Afternoon movements vs standby
30.78125,33.260425094393256,Afternoon movements vs standby
30.830078125,33.224425094393254,Afternoon movements vs standby
30.87890625,34.39142509439324,Afternoon movements vs standby
30.927734375,33.465425094393254,Afternoon movements vs standby
30.9765625,33.55342509439325,Afternoon movements vs standby
31.025390625,34.599425094393254,Afternoon movements vs standby
31.07421875,33.67342509439325,Afternoon movements vs standby
31.123046875,33.79442509439325,Afternoon movements vs standby
31.171875,34.69442509439325,Afternoon movements vs standby
31.220703125,33.80642509439325,Afternoon movements vs standby
31.26953125,34.010425094393256,Afternoon movements vs standby
31.318359375,34.754425094393255,Afternoon movements vs standby
31.3671875,33.79842509439325,Afternoon movements vs standby
31.416015625,33.94642509439325,Afternoon movements vs standby
31.46484375,34.56242509439325,Afternoon movements vs standby
31.513671875,33.501425094393255,Afternoon movements vs standby
31.5625,33.599425094393254,Afternoon movements vs standby
31.611328125,33.992425094393255,Afternoon movements vs standby
31.66015625,32.91942509439325,Afternoon movements vs standby
31.708984375,32.835425094393244,Afternoon movements vs standby
31.7578125,33.126425094393255,Afternoon movements vs standby
31.806640625,32.24742509439325,Afternoon movements vs standby
31.85546875,31.680425094393247,Afternoon movements vs standby
31.904296875,31.991425094393247,Afternoon movements vs standby
31.953125,31.56242509439325,Afternoon movements vs standby
32.001953125,31.39242509439325,Afternoon movements vs standby
32.05078125,31.290425094393246,Afternoon movements vs standby
32.099609375,30.799425094393246,Afternoon movements vs standby
32.1484375,30.72142509439325,Afternoon movements vs standby
32.197265625,30.86742509439325,Afternoon movements vs standby
32.24609375,30.53542509439325,Afternoon movements vs standby
32.294921875,30.510425094393252,Afternoon movements vs standby
32.34375,31.222425094393248,Afternoon movements vs standby
32.392578125,30.22142509439325,Afternoon movements vs standby
32.44140625,30.49542509439325,Afternoon movements vs standby
32.490234375,32.03742509439324,Afternoon movements vs standby
32.5390625,30.04442509439325,Afternoon movements vs standby
32.587890625,30.70342509439325,Afternoon movements vs standby
32.63671875,32.76842509439325,Afternoon movements vs standby
32.685546875,31.18842509439325,Afternoon movements vs standby
32.734375,31.299425094393246,Afternoon movements vs standby
32.783203125,32.80942509439325,Afternoon movements vs standby
32.83203125,32.07442509439325,Afternoon movements vs standby
32.880859375,32.093425094393254,Afternoon movements vs standby
32.9296875,33.04442509439325,Afternoon movements vs standby
32.978515625,33.04442509439325,Afternoon movements vs standby
33.02734375,33.011425094393246,Afternoon movements vs standby
33.076171875,33.10742509439325,Afternoon movements vs standby
33.125,34.14842509439325,Afternoon movements vs standby
33.173828125,34.126425094393255,Afternoon movements vs standby
33.22265625,33.76842509439325,Afternoon movements vs standby
33.271484375,35.365425094393245,Afternoon movements vs standby
33.3203125,35.33642509439325,Afternoon movements vs standby
33.369140625,34.70842509439325,Afternoon movements vs standby
33.41796875,36.79642509439324,Afternoon movements vs standby
33.466796875,36.81542509439325,Afternoon movements vs standby
33.515625,35.80242509439324,Afternoon movements vs standby
33.564453125,38.28942509439325,Afternoon movements vs standby
33.61328125,38.22342509439325,Afternoon movements vs standby
33.662109375,36.93742509439325,Afternoon movements vs standby
33.7109375,39.58942509439325,Afternoon movements vs standby
33.759765625,39.45642509439325,Afternoon movements vs standby
33.80859375,37.760425094393256,Afternoon movements vs standby
33.857421875,40.39542509439325,Afternoon movements vs standby
33.90625,40.213425094393244,Afternoon movements vs standby
33.955078125,37.67342509439325,Afternoon movements vs standby
34.00390625,40.79342509439324,Afternoon movements vs standby
34.052734375,40.57742509439325,Afternoon movements vs standby
34.1015625,37.850425094393245,Afternoon movements vs standby
34.150390625,40.54542509439325,Afternoon movements vs standby
34.19921875,40.17342509439325,Afternoon movements vs standby
34.248046875,37.96142509439325,Afternoon movements vs standby
34.296875,39.92242509439325,Afternoon movements vs standby
34.345703125,40.858425094393255,Afternoon movements vs standby
34.39453125,38.849425094393254,Afternoon movements vs standby
34.443359375,39.68942509439324,Afternoon movements vs standby
34.4921875,40.727425094393254,Afternoon movements vs standby
34.541015625,39.80342509439325,Afternoon movements vs standby
34.58984375,40.07442509439325,Afternoon movements vs standby
34.638671875,40.37542509439325,Afternoon movements vs standby
34.6875,39.79042509439324,Afternoon movements vs standby
34.736328125,40.237425094393245,Afternoon movements vs standby
34.78515625,39.29842509439325,Afternoon movements vs standby
34.833984375,39.43342509439324,Afternoon movements vs standby
34.8828125,39.67242509439325,Afternoon movements vs standby
34.931640625,37.45242509439325,Afternoon movements vs standby
34.98046875,39.38142509439325,Afternoon movements vs standby
35.029296875,39.97942509439325,Afternoon movements vs standby
35.078125,37.07742509439325,Afternoon movements vs standby
35.126953125,40.267425094393246,Afternoon movements vs standby
35.17578125,39.56242509439325,Afternoon movements vs standby
35.224609375,38.80942509439325,Afternoon movements vs standby
35.2734375,41.03242509439325,Afternoon movements vs standby
35.322265625,40.42542509439325,Afternoon movements vs standby
35.37109375,40.87542509439325,Afternoon movements vs standby
35.419921875,40.736425094393255,Afternoon movements vs standby
35.46875,41.81842509439325,Afternoon movements vs standby
35.517578125,42.25942509439325,Afternoon movements vs standby
35.56640625,40.55442509439325,Afternoon movements vs standby
35.615234375,42.472425094393245,Afternoon movements vs standby
35.6640625,41.882425094393255,Afternoon movements vs standby
35.712890625,40.31542509439325,Afternoon movements vs standby
35.76171875,41.231425094393245,Afternoon movements vs standby
35.810546875,39.954425094393244,Afternoon movements vs standby
35.859375,38.65542509439325,Afternoon movements vs standby
35.908203125,39.758425094393246,Afternoon movements vs standby
35.95703125,39.78842509439325,Afternoon movements vs standby
36.005859375,38.53442509439324,Afternoon movements vs standby
36.0546875,39.70342509439325,Afternoon movements vs standby
36.103515625,39.53042509439325,Afternoon movements vs standby
36.15234375,37.85742509439325,Afternoon movements vs standby
36.201171875,39.249425094393246,Afternoon movements vs standby
36.25,38.98842509439325,Afternoon movements vs standby
36.298828125,36.767425094393246,Afternoon movements vs standby
36.34765625,38.56342509439325,Afternoon movements vs standby
36.396484375,38.237425094393245,Afternoon movements vs standby
36.4453125,35.43542509439325,Afternoon movements vs standby
36.494140625,37.611425094393255,Afternoon movements vs standby
36.54296875,37.23542509439325,Afternoon movements vs standby
36.591796875,35.07542509439325,Afternoon movements vs standby
36.640625,36.47342509439325,Afternoon movements vs standby
36.689453125,36.094425094393245,Afternoon movements vs standby
36.73828125,34.99442509439325,Afternoon movements vs standby
36.787109375,35.320425094393244,Afternoon movements vs standby
36.8359375,35.16842509439324,Afternoon movements vs standby
36.884765625,34.55742509439325,Afternoon movements vs standby
36.93359375,34.377425094393246,Afternoon movements vs standby
36.982421875,34.18342509439324,Afternoon movements vs standby
37.03125,33.77442509439325,Afternoon movements vs standby
37.080078125,33.62842509439325,Afternoon movements vs standby
37.12890625,33.46442509439325,Afternoon movements vs standby
37.177734375,32.76242509439325,Afternoon movements vs standby
37.2265625,32.84542509439325,Afternoon movements vs standby
37.275390625,32.89442509439324,Afternoon movements vs standby
37.32421875,31.591425094393248,Afternoon movements vs standby
37.373046875,32.102425094393254,Afternoon movements vs standby
37.421875,32.29442509439325,Afternoon movements vs standby
37.470703125,30.67542509439325,Afternoon movements vs standby
37.51953125,31.28842509439325,Afternoon movements vs standby
37.568359375,31.68842509439325,Afternoon movements vs standby
37.6171875,30.16142509439325,Afternoon movements vs standby
37.666015625,30.73042509439325,Afternoon movements vs standby
37.71484375,31.01742509439325,Afternoon movements vs standby
37.763671875,29.74842509439325,Afternoon movements vs standby
37.8125,29.99842509439325,Afternoon movements vs standby
37.861328125,30.30942509439325,Afternoon movements vs standby
37.91015625,29.278425094393246,Afternoon movements vs standby
