freq_mhz,Ambient_dbuvm,Standby_dbuvm,delta_db,comparison
30.0,15.37442509439325,18.425425094393248,3.0509999999999984,Standby
30.048828125,19.094425094393248,20.89742509439325,1.8030000000000008,Standby
30.09765625,19.25742509439325,21.300425094393248,2.0429999999999993,Standby
30.146484375,19.567425094393247,21.48142509439325,1.9140000000000015,Standby
30.1953125,19.54642509439325,21.57542509439325,2.029,Standby
30.244140625,19.94342509439325,22.16042509439325,2.2170000000000023,Standby
30.29296875,19.637425094393247,21.933425094393247,2.2959999999999994,Standby
30.341796875,19.99342509439325,22.18442509439325,2.1910000000000025,Standby
30.390625,19.82842509439325,22.219425094393248,2.3909999999999982,Standby
30.439453125,19.91142509439325,22.23342509439325,2.3220000000000027,Standby
30.48828125,20.277425094393248,22.54542509439325,2.2680000000000007,Standby
30.537109375,19.97642509439325,22.583425094393245,2.6069999999999958,Standby
30.5859375,20.529425094393247,23.16042509439325,2.631000000000004,Standby
30.634765625,20.201425094393247,22.976425094393246,2.7749999999999986,Standby
30.68359375,20.468425094393247,23.287425094393246,2.818999999999999,Standby
30.732421875,20.515425094393247,23.16942509439325,2.6540000000000035,Standby
30.78125,20.466425094393248,23.247425094393247,2.780999999999999,Standby
30.830078125,20.905425094393248,23.744425094393247,2.8389999999999986,Standby
30.87890625,20.63342509439325,23.63042509439325,2.997,Standby
30.927734375,21.163425094393247,24.07242509439325,2.9090000000000025,Standby
30.9765625,20.80742509439325,24.049425094393246,3.2419999999999973,Standby
31.025390625,21.012425094393247,24.448425094393247,3.436,Standby
31.07421875,21.22042509439325,24.77642509439325,3.556000000000001,Standby
31.123046875,21.00542509439325,24.81042509439325,3.8049999999999997,Standby
31.171875,21.457425094393248,25.29742509439325,3.8400000000000034,Standby
31.220703125,21.08142509439325,25.132425094393252,4.051000000000002,Standby
31.26953125,21.497425094393247,25.62642509439325,4.129000000000005,Standby
31.318359375,21.201425094393247,25.644425094393245,4.442999999999998,Standby
31.3671875,21.492425094393248,26.04542509439325,4.553000000000001,Standby
31.416015625,21.57242509439325,26.45942509439325,4.8870000000000005,Standby
31.46484375,21.24442509439325,26.26442509439325,5.02,Standby
31.513671875,21.92942509439325,26.196425094393252,4.267000000000003,Standby
31.5625,21.45942509439325,26.09642509439325,4.6370000000000005,Standby
31.611328125,21.780425094393248,26.193425094393252,4.413000000000004,Standby
31.66015625,21.757425094393252,26.390425094393247,4.632999999999996,Standby
31.708984375,21.71242509439325,26.247425094393247,4.534999999999997,Standby
31.7578125,22.10642509439325,26.503425094393247,4.3969999999999985,Standby
31.806640625,21.74842509439325,26.247425094393247,4.498999999999995,Standby
31.85546875,22.314425094393247,26.56342509439325,4.249000000000002,Standby
31.904296875,21.96842509439325,26.60842509439325,4.640000000000001,Standby
31.953125,22.17942509439325,27.716425094393248,5.536999999999999,Standby
32.001953125,22.29242509439325,28.93442509439325,6.642000000000003,Standby
32.05078125,22.01142509439325,27.82542509439325,5.814,Standby
32.099609375,22.326425094393247,26.754425094393252,4.428000000000004,Standby
32.1484375,21.945425094393247,26.27642509439325,4.331000000000003,Standby
32.197265625,22.216425094393248,26.452425094393245,4.235999999999997,Standby
32.24609375,22.088425094393248,26.189425094393247,4.100999999999999,Standby
32.294921875,22.116425094393247,25.95642509439325,3.8400000000000034,Standby
32.34375,22.17642509439325,26.055425094393247,3.878999999999998,Standby
32.392578125,21.85942509439325,25.707425094393248,3.847999999999999,Standby
32.44140625,22.08742509439325,25.72742509439325,3.6400000000000006,Standby
32.490234375,21.77042509439325,25.262425094393247,3.4919999999999973,Standby
32.5390625,21.790425094393246,25.33142509439325,3.541000000000004,Standby
32.587890625,21.61842509439325,25.62742509439325,4.009,Standby
32.63671875,21.44342509439325,25.692425094393247,4.248999999999999,Standby
32.685546875,21.52542509439325,26.29842509439325,4.773,Standby
32.734375,21.236425094393248,25.56642509439325,4.330000000000002,Standby
32.783203125,21.27242509439325,24.67842509439325,3.4060000000000024,Standby
32.83203125,21.08142509439325,23.81042509439325,2.728999999999999,Standby
32.880859375,21.03442509439325,23.79442509439325,2.7600000000000016,Standby
32.9296875,20.97842509439325,23.710425094393248,2.7319999999999993,Standby
32.978515625,20.70342509439325,23.17542509439325,2.4720000000000013,Standby
33.02734375,20.77042509439325,23.22442509439325,2.4540000000000006,Standby
33.076171875,20.483425094393247,22.98942509439325,2.506000000000004,Standby
33.125,20.64242509439325,23.055425094393247,2.4129999999999967,Standby
33.173828125,20.36042509439325,22.93742509439325,2.5770000000000017,Standby
33.22265625,20.36942509439325,22.754425094393252,2.3850000000000016,Standby
33.271484375,20.32842509439325,22.607425094393246,2.2789999999999964,Standby
33.3203125,20.222425094393248,22.36842509439325,2.146000000000001,Standby
33.369140625,20.22342509439325,22.619425094393247,2.3959999999999972,Standby
33.41796875,20.10342509439325,22.619425094393247,2.5159999999999982,Standby
33.466796875,20.06842509439325,22.60642509439325,2.5380000000000003,Standby
33.515625,20.215425094393247,22.32842509439325,2.113000000000003,Standby
33.564453125,20.053425094393248,22.052425094393246,1.9989999999999988,Standby
33.61328125,20.05442509439325,22.44442509439325,2.3900000000000006,Standby
33.662109375,20.009425094393247,22.028425094393246,2.0189999999999984,Standby
33.7109375,20.233425094393247,22.305425094393247,2.071999999999999,Standby
33.759765625,20.120425094393248,22.241425094393247,2.1209999999999987,Standby
33.80859375,20.172425094393247,22.18842509439325,2.016000000000002,Standby
33.857421875,20.16542509439325,22.34942509439325,2.184000000000001,Standby
33.90625,20.23742509439325,22.50842509439325,2.271000000000001,Standby
33.955078125,20.54342509439325,23.06642509439325,2.5229999999999997,Standby
34.00390625,20.404425094393247,22.77342509439325,2.3690000000000033,Standby
34.052734375,20.58442509439325,23.210425094393248,2.6259999999999977,Standby
34.1015625,20.521425094393248,23.43142509439325,2.9100000000000037,Standby
34.150390625,20.54642509439325,23.479425094393246,2.9329999999999963,Standby
34.19921875,20.73142509439325,23.76142509439325,3.030000000000001,Standby
34.248046875,20.60042509439325,23.97142509439325,3.371000000000002,Standby
34.296875,20.902425094393248,24.092425094393246,3.1899999999999977,Standby
34.345703125,20.596425094393247,24.29842509439325,3.7020000000000017,Standby
34.39453125,20.73542509439325,24.408425094393248,3.6729999999999983,Standby
34.443359375,20.82142509439325,24.64842509439325,3.8270000000000017,Standby
34.4921875,20.73542509439325,24.09042509439325,3.3550000000000004,Standby
34.541015625,20.92442509439325,23.93842509439325,3.0139999999999993,Standby
34.58984375,20.747425094393247,23.960425094393248,3.213000000000001,Standby
34.638671875,21.041425094393247,23.86442509439325,2.823000000000004,Standby
34.6875,20.704425094393248,23.54542509439325,2.841000000000001,Standby
34.736328125,20.97842509439325,23.339425094393246,2.360999999999997,Standby
34.78515625,21.03442509439325,23.42842509439325,2.394000000000002,Standby
34.833984375,20.85942509439325,23.101425094393246,2.2419999999999973,Standby
34.8828125,21.08642509439325,23.500425094393247,2.413999999999998,Standby
34.931640625,20.89542509439325,23.48042509439325,2.585000000000001,Standby
34.98046875,21.12142509439325,24.043425094393246,2.921999999999997,Standby
35.029296875,20.966425094393248,24.150425094393245,3.1839999999999975,Standby
35.078125,21.31942509439325,24.320425094393247,3.0009999999999977,Standby
35.126953125,21.21442509439325,24.629425094393252,3.4150000000000027,Standby
35.17578125,20.88942509439325,24.66742509439325,3.7779999999999987,Standby
35.224609375,21.26442509439325,25.37342509439325,4.109000000000002,Standby
35.2734375,20.97342509439325,25.533425094393248,4.559999999999999,Standby
35.322265625,21.23242509439325,25.908425094393248,4.675999999999998,Standby
35.37109375,20.844425094393248,26.564425094393247,5.719999999999999,Standby
35.419921875,20.91442509439325,26.35042509439325,5.436,Standby
35.46875,21.29242509439325,27.17542509439325,5.883000000000003,Standby
35.517578125,21.16842509439325,26.96842509439325,5.800000000000001,Standby
35.56640625,21.662425094393246,26.908425094393248,5.246000000000002,Standby
35.615234375,21.47942509439325,26.966425094393248,5.486999999999998,Standby
35.6640625,21.650425094393245,26.134425094393247,4.484000000000002,Standby
35.712890625,21.683425094393247,26.448425094393247,4.765000000000001,Standby
35.76171875,21.41442509439325,25.757425094393252,4.3430000000000035,Standby
35.810546875,21.576425094393247,25.43742509439325,3.861000000000004,Standby
35.859375,21.23542509439325,25.101425094393246,3.865999999999996,Standby
35.908203125,21.45242509439325,24.20642509439325,2.7540000000000013,Standby
35.95703125,21.387425094393247,24.198425094393247,2.811,Standby
36.005859375,21.26742509439325,23.70042509439325,2.433,Standby
36.0546875,21.498425094393248,23.528425094393246,2.0299999999999976,Standby
36.103515625,21.277425094393248,23.165425094393246,1.8879999999999981,Standby
36.15234375,21.454425094393248,22.954425094393248,1.5,Standby
36.201171875,21.26342509439325,22.546425094393246,1.2829999999999977,Standby
36.25,21.38042509439325,22.351425094393246,0.9709999999999965,Standby
36.298828125,21.064425094393247,22.30442509439325,1.240000000000002,Standby
36.34765625,21.10042509439325,22.03942509439325,0.9390000000000001,Standby
36.396484375,21.192425094393247,22.00542509439325,0.8130000000000024,Standby
36.4453125,20.85742509439325,21.69142509439325,0.8339999999999996,Standby
36.494140625,21.14442509439325,21.847425094393248,0.7029999999999994,Standby
36.54296875,20.86342509439325,21.591425094393248,0.727999999999998,Standby
36.591796875,20.861425094393248,21.790425094393246,0.9289999999999985,Standby
36.640625,20.922425094393247,21.643425094393248,0.7210000000000001,Standby
36.689453125,20.73742509439325,21.55442509439325,0.8170000000000002,Standby
36.73828125,20.87942509439325,21.722425094393248,0.843,Standby
36.787109375,20.83942509439325,21.45842509439325,0.6189999999999998,Standby
36.8359375,20.99442509439325,21.71542509439325,0.7210000000000001,Standby
36.884765625,20.847425094393248,21.75542509439325,0.9080000000000013,Standby
36.93359375,20.92742509439325,21.53642509439325,0.6089999999999982,Standby
36.982421875,21.07742509439325,21.680425094393247,0.602999999999998,Standby
37.03125,20.82742509439325,21.48442509439325,0.657,Standby
37.080078125,21.12442509439325,21.65442509439325,0.5300000000000011,Standby
37.12890625,20.922425094393247,21.60942509439325,0.6870000000000012,Standby
37.177734375,21.222425094393248,21.80342509439325,0.5810000000000031,Standby
37.2265625,21.02842509439325,21.75542509439325,0.7270000000000003,Standby
37.275390625,21.096425094393247,21.589425094393246,0.49299999999999855,Standby
37.32421875,21.192425094393247,21.81342509439325,0.6210000000000022,Standby
37.373046875,20.92042509439325,21.595425094393246,0.6749999999999972,Standby
37.421875,21.091425094393248,21.757425094393252,0.6660000000000039,Standby
37.470703125,21.00742509439325,21.836425094393245,0.8289999999999971,Standby
37.51953125,21.172425094393247,21.948425094393247,0.7759999999999998,Standby
37.568359375,21.158425094393248,21.760425094393252,0.6020000000000039,Standby
37.6171875,20.974425094393247,21.686425094393247,0.7119999999999997,Standby
37.666015625,21.23842509439325,21.85842509439325,0.620000000000001,Standby
37.71484375,21.033425094393248,21.67342509439325,0.6400000000000006,Standby
37.763671875,21.158425094393248,21.85242509439325,0.6940000000000026,Standby
37.8125,21.08342509439325,21.86542509439325,0.782,Standby
