freq_mhz,Ambient (22 May)_dbuvm,4SLF OFF — Standby_dbuvm,delta_db,comparison,Full system ON — Standby_dbuvm
30.0,16.457425094393248,18.059425094393248,1.6020000000000003,4SLF OFF — Standby,
30.048828125,22.72742509439325,20.846425094393247,-1.8810000000000038,4SLF OFF — Standby,
30.09765625,21.03442509439325,21.149425094393248,0.11499999999999844,4SLF OFF — Standby,
30.146484375,20.117425094393248,21.29242509439325,1.1750000000000007,4SLF OFF — Standby,
30.1953125,22.75842509439325,21.34242509439325,-1.4160000000000004,4SLF OFF — Standby,
30.244140625,21.15042509439325,21.86442509439325,0.7140000000000022,4SLF OFF — Standby,
30.29296875,20.16142509439325,21.74242509439325,1.581000000000003,4SLF OFF — Standby,
30.341796875,22.972425094393248,21.945425094393247,-1.027000000000001,4SLF OFF — Standby,
30.390625,21.26442509439325,21.79842509439325,0.5339999999999989,4SLF OFF — Standby,
30.439453125,20.902425094393248,21.945425094393247,1.0429999999999993,4SLF OFF — Standby,
30.48828125,23.04242509439325,22.24242509439325,-0.7999999999999972,4SLF OFF — Standby,
30.537109375,21.568425094393252,22.36542509439325,0.796999999999997,4SLF OFF — Standby,
30.5859375,21.099425094393247,22.87142509439325,1.772000000000002,4SLF OFF — Standby,
30.634765625,23.214425094393246,22.738425094393246,-0.4759999999999991,4SLF OFF — Standby,
30.68359375,21.597425094393248,22.875425094393247,1.2779999999999987,4SLF OFF — Standby,
30.732421875,21.16242509439325,22.912425094393246,1.7499999999999964,4SLF OFF — Standby,
30.78125,23.32242509439325,22.94142509439325,-0.3810000000000002,4SLF OFF — Standby,
30.830078125,21.71242509439325,23.40142509439325,1.689,4SLF OFF — Standby,
30.87890625,21.410425094393247,23.31542509439325,1.9050000000000047,4SLF OFF — Standby,
30.927734375,23.38342509439325,23.87442509439325,0.49099999999999966,4SLF OFF — Standby,
30.9765625,21.76742509439325,23.686425094393247,1.918999999999997,4SLF OFF — Standby,
31.025390625,21.94142509439325,24.033425094393248,2.0919999999999987,4SLF OFF — Standby,
31.07421875,23.51142509439325,24.27042509439325,0.7590000000000003,4SLF OFF — Standby,
31.123046875,21.994425094393247,24.396425094393248,2.402000000000001,4SLF OFF — Standby,
31.171875,22.223425094393246,24.91942509439325,2.696000000000005,4SLF OFF — Standby,
31.220703125,23.665425094393246,24.722425094393248,1.0570000000000022,4SLF OFF — Standby,
31.26953125,22.235425094393246,25.10242509439325,2.8670000000000044,4SLF OFF — Standby,
31.318359375,22.18142509439325,25.22842509439325,3.046999999999997,4SLF OFF — Standby,
31.3671875,23.717425094393246,25.69142509439325,1.9740000000000038,4SLF OFF — Standby,
31.416015625,22.46242509439325,26.03942509439325,3.576999999999998,4SLF OFF — Standby,
31.46484375,22.31642509439325,25.591425094393248,3.2749999999999986,4SLF OFF — Standby,
31.513671875,23.766425094393245,25.72842509439325,1.9620000000000033,4SLF OFF — Standby,
31.5625,22.381425094393247,25.54442509439325,3.163000000000004,4SLF OFF — Standby,
31.611328125,22.827425094393245,25.826425094393247,2.9990000000000023,4SLF OFF — Standby,
31.66015625,23.84342509439325,25.90742509439325,2.064,4SLF OFF — Standby,
31.708984375,22.94042509439325,25.891425094393245,2.9509999999999934,4SLF OFF — Standby,
31.7578125,22.985425094393246,25.99542509439325,3.010000000000005,4SLF OFF — Standby,
31.806640625,23.81242509439325,25.964425094393246,2.151999999999994,4SLF OFF — Standby,
31.85546875,23.366425094393247,26.196425094393252,2.8300000000000054,4SLF OFF — Standby,
31.904296875,22.784425094393246,26.25542509439325,3.4710000000000036,4SLF OFF — Standby,
31.953125,23.78542509439325,27.512425094393247,3.7269999999999968,4SLF OFF — Standby,
32.001953125,22.955425094393245,28.54542509439325,5.590000000000003,4SLF OFF — Standby,
32.05078125,22.93242509439325,27.400425094393245,4.467999999999996,4SLF OFF — Standby,
