Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Ambient,112.568359375,27.323425094393247,40.0,12.676574905606753,PASS
Ambient,35.46875,25.05142509439325,40.0,14.948574905606751,PASS
Standby,857.978515625,38.820425094393244,47.0,8.179574905606756,PASS
Standby,861.201171875,38.30242509439324,47.0,8.697574905606757,PASS
Standby,855.732421875,36.48842509439325,47.0,10.51157490560675,PASS
Standby,852.705078125,35.868425094393245,47.0,11.131574905606755,PASS
Standby,162.51953125,31.726425094393246,40.0,8.273574905606754,PASS
Standby,39.912109375,31.491425094393247,40.0,8.508574905606753,PASS
Standby,502.412109375,31.48042509439325,47.0,15.51957490560675,PASS
Standby,492.890625,29.96542509439325,47.0,17.03457490560675,PASS
Standby,506.66015625,29.710425094393248,47.0,17.289574905606752,PASS
Standby,498.1640625,29.48942509439325,47.0,17.51057490560675,PASS
Standby,500.21484375,28.817425094393247,47.0,18.182574905606753,PASS
Standby,66.181640625,28.68842509439325,40.0,11.31157490560675,PASS
