Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Worst-case envelope,889.5703125,47.81642509439325,47.0,-0.816425094393253,FAIL
Worst-case envelope,856.7578125,43.623425094393255,47.0,3.376574905606745,PASS
Worst-case envelope,861.0546875,43.26342509439324,47.0,3.7365749056067585,PASS
Worst-case envelope,898.5546875,34.57142509439325,47.0,12.428574905606752,PASS
Worst-case envelope,892.109375,34.32542509439325,47.0,12.674574905606747,PASS
Worst-case envelope,162.51953125,33.54142509439325,40.0,6.458574905606753,PASS
Worst-case envelope,500.01953125,31.516425094393245,47.0,15.483574905606755,PASS
Worst-case envelope,63.935546875,30.710425094393248,40.0,9.289574905606752,PASS
Worst-case envelope,137.51953125,28.519425094393245,40.0,11.480574905606755,PASS
