freq_mhz,field_corr_dbuvm,mode
30.0,21.340425094393247,Configurations (20 May)
30.048828125,24.866425094393247,Configurations (20 May)
30.09765625,24.848425094393246,Configurations (20 May)
30.146484375,24.76442509439325,Configurations (20 May)
30.1953125,24.90142509439325,Configurations (20 May)
30.244140625,24.93242509439325,Configurations (20 May)
30.29296875,25.04442509439325,Configurations (20 May)
30.341796875,25.144425094393245,Configurations (20 May)
30.390625,25.17642509439325,Configurations (20 May)
30.439453125,25.129425094393252,Configurations (20 May)
30.48828125,25.158425094393248,Configurations (20 May)
30.537109375,25.31942509439325,Configurations (20 May)
30.5859375,25.34342509439325,Configurations (20 May)
30.634765625,25.446425094393252,Configurations (20 May)
30.68359375,25.455425094393245,Configurations (20 May)
30.732421875,25.54242509439325,Configurations (20 May)
30.78125,25.586425094393245,Configurations (20 May)
30.830078125,25.808425094393247,Configurations (20 May)
30.87890625,25.79242509439325,Configurations (20 May)
30.927734375,25.99942509439325,Configurations (20 May)
30.9765625,26.135425094393252,Configurations (20 May)
31.025390625,26.24842509439325,Configurations (20 May)
31.07421875,26.52642509439325,Configurations (20 May)
31.123046875,26.458425094393245,Configurations (20 May)
31.171875,26.88942509439325,Configurations (20 May)
31.220703125,26.79742509439325,Configurations (20 May)
31.26953125,26.845425094393246,Configurations (20 May)
31.318359375,26.835425094393248,Configurations (20 May)
31.3671875,26.81942509439325,Configurations (20 May)
31.416015625,26.818425094393252,Configurations (20 May)
31.46484375,26.640425094393247,Configurations (20 May)
31.513671875,26.55942509439325,Configurations (20 May)
31.5625,26.42042509439325,Configurations (20 May)
31.611328125,26.52642509439325,Configurations (20 May)
31.66015625,26.513425094393245,Configurations (20 May)
31.708984375,26.402425094393248,Configurations (20 May)
31.7578125,26.34642509439325,Configurations (20 May)
31.806640625,26.48042509439325,Configurations (20 May)
31.85546875,26.48942509439325,Configurations (20 May)
31.904296875,26.50242509439325,Configurations (20 May)
31.953125,26.927425094393246,Configurations (20 May)
32.001953125,27.48742509439325,Configurations (20 May)
32.05078125,26.888425094393245,Configurations (20 May)
32.099609375,26.836425094393245,Configurations (20 May)
32.1484375,26.76142509439325,Configurations (20 May)
32.197265625,26.954425094393248,Configurations (20 May)
32.24609375,26.897425094393245,Configurations (20 May)
32.294921875,27.027425094393248,Configurations (20 May)
32.34375,27.168425094393246,Configurations (20 May)
32.392578125,27.18742509439325,Configurations (20 May)
32.44140625,27.375425094393247,Configurations (20 May)
32.490234375,27.35642509439325,Configurations (20 May)
32.5390625,27.76742509439325,Configurations (20 May)
32.587890625,27.961425094393245,Configurations (20 May)
32.63671875,28.66142509439325,Configurations (20 May)
32.685546875,28.769425094393245,Configurations (20 May)
32.734375,28.24542509439325,Configurations (20 May)
32.783203125,28.08442509439325,Configurations (20 May)
32.83203125,28.14242509439325,Configurations (20 May)
32.880859375,28.567425094393247,Configurations (20 May)
32.9296875,28.470425094393246,Configurations (20 May)
32.978515625,28.899425094393248,Configurations (20 May)
33.02734375,28.524425094393248,Configurations (20 May)
33.076171875,29.033425094393248,Configurations (20 May)
33.125,29.116425094393247,Configurations (20 May)
33.173828125,29.430425094393247,Configurations (20 May)
33.22265625,29.49542509439325,Configurations (20 May)
33.271484375,29.63942509439325,Configurations (20 May)
33.3203125,29.899425094393248,Configurations (20 May)
33.369140625,30.04142509439325,Configurations (20 May)
33.41796875,30.44442509439325,Configurations (20 May)
33.466796875,30.23042509439325,Configurations (20 May)
33.515625,30.360425094393246,Configurations (20 May)
33.564453125,29.68542509439325,Configurations (20 May)
33.61328125,30.097425094393248,Configurations (20 May)
33.662109375,29.348425094393246,Configurations (20 May)
33.7109375,29.244425094393247,Configurations (20 May)
33.759765625,28.77642509439325,Configurations (20 May)
33.80859375,28.59042509439325,Configurations (20 May)
33.857421875,28.51142509439325,Configurations (20 May)
33.90625,28.174425094393246,Configurations (20 May)
33.955078125,28.16742509439325,Configurations (20 May)
34.00390625,27.335425094393248,Configurations (20 May)
34.052734375,27.35342509439325,Configurations (20 May)
34.1015625,27.14542509439325,Configurations (20 May)
34.150390625,26.869425094393247,Configurations (20 May)
34.19921875,26.896425094393248,Configurations (20 May)
34.248046875,26.73042509439325,Configurations (20 May)
34.296875,26.74342509439325,Configurations (20 May)
34.345703125,26.564425094393247,Configurations (20 May)
34.39453125,26.634425094393247,Configurations (20 May)
34.443359375,26.781425094393246,Configurations (20 May)
34.4921875,26.80642509439325,Configurations (20 May)
34.541015625,26.86142509439325,Configurations (20 May)
34.58984375,26.695425094393247,Configurations (20 May)
34.638671875,26.73442509439325,Configurations (20 May)
34.6875,26.802425094393246,Configurations (20 May)
34.736328125,27.016425094393245,Configurations (20 May)
34.78515625,27.007425094393252,Configurations (20 May)
34.833984375,26.790425094393246,Configurations (20 May)
34.8828125,27.009425094393247,Configurations (20 May)
34.931640625,27.05342509439325,Configurations (20 May)
34.98046875,27.232425094393246,Configurations (20 May)
35.029296875,27.443425094393252,Configurations (20 May)
35.078125,27.357425094393246,Configurations (20 May)
35.126953125,27.54742509439325,Configurations (20 May)
35.17578125,27.473425094393246,Configurations (20 May)
35.224609375,27.897425094393245,Configurations (20 May)
35.2734375,27.872425094393247,Configurations (20 May)
35.322265625,28.23342509439325,Configurations (20 May)
35.37109375,28.35842509439325,Configurations (20 May)
35.419921875,28.36442509439325,Configurations (20 May)
35.46875,28.92542509439325,Configurations (20 May)
35.517578125,28.88942509439325,Configurations (20 May)
35.56640625,29.577425094393245,Configurations (20 May)
35.615234375,29.49042509439325,Configurations (20 May)
35.6640625,29.829425094393248,Configurations (20 May)
35.712890625,30.144425094393245,Configurations (20 May)
35.76171875,30.183425094393247,Configurations (20 May)
35.810546875,30.62142509439325,Configurations (20 May)
35.859375,30.073425094393247,Configurations (20 May)
35.908203125,30.308425094393247,Configurations (20 May)
35.95703125,29.997425094393247,Configurations (20 May)
36.005859375,29.885425094393252,Configurations (20 May)
36.0546875,30.052425094393246,Configurations (20 May)
